Indikator,Auspraegung,Jahr,Raumbezug,Indikatorwert,Basiswert1,Basiswert2,Basiswert3,Basiswert4,Basiswert5,NameBasiswert1,NameBasiswert2,NameBasiswert3,NameBasiswert4,NameBasiswert5
Baugenehmigungen,Wohnfläche,2019,02 Ludwigsvorstadt - Isarvorstadt,87.5,3850,44,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,03 Maxvorstadt,88.3,8830,100,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,04 Schwabing - West,78.2,12900,165,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,05 Au - Haidhausen,80.9,45619,564,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,06 Sendling,73.4,6458,88,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,07 Sendling - Westpark,72.0,29309,407,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,08 Schwanthalerhöhe,88.0,0,0,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,09 Neuhausen - Nymphenburg,46.1,18959,411,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,10 Moosach,74.1,27122,366,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,11 Milbertshofen - Am Hart,74.2,24399,329,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,12 Schwabing - Freimann,98.9,7908,80,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,13 Bogenhausen,106.5,23119,217,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,14 Berg am Laim,55.8,2902,52,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,15 Trudering - Riem,69.0,47916,694,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,16 Ramersdorf - Perlach,66.5,35921,540,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,17 Obergiesing - Fasangarten,51.4,12024,234,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
Baugenehmigungen,Wohnfläche,2019,18 Untergiesing - Harlaching,71.8,30570,426,,,,Summe (Wohnflächen genehmigter Neubauwohnungen),genehmigte Neubauwohnungen (insgesamt),,,
