Wohnfläche,Baujahr_kl,Grundpreis_eur_m2
31-32,2022-2023,20.25
33-34,2022-2023,19.74
35-36,2022-2023,19.27
37-38,2022-2023,18.85
39-40,2022-2023,18.46
41-42,2022-2023,18.12
43-44,2022-2023,17.81
45-46,2022-2023,17.53
47-48,2022-2023,17.28
49-50,2022-2023,17.06
51-52,2022-2023,16.87
53-54,2022-2023,16.69
55-56,2022-2023,16.54
57-58,2022-2023,16.4
59-60,2022-2023,16.28
61-62,2022-2023,16.16
63-64,2022-2023,16.06
65-66,2022-2023,15.96
67-68,2022-2023,15.86
69-70,2022-2023,15.77
71-72,2022-2023,15.67
73-74,2022-2023,15.58
75-76,2022-2023,15.49
77-78,2022-2023,15.4
79-80,2022-2023,15.32
81-82,2022-2023,15.24
83-84,2022-2023,15.15
85-86,2022-2023,15.08
87-88,2022-2023,15.0
89-90,2022-2023,14.93
91-92,2022-2023,14.86
93-94,2022-2023,14.8
95-96,2022-2023,14.74
97-98,2022-2023,14.69
99-100,2022-2023,14.64
101-102,2022-2023,14.59
103-104,2022-2023,14.56
105-106,2022-2023,14.52
107-108,2022-2023,14.49
109-110,2022-2023,14.47
111-112,2022-2023,14.46
113-114,2022-2023,14.45
115-116,2022-2023,14.45
117-118,2022-2023,14.45
119-120,2022-2023,14.47
121-122,2022-2023,14.48
123-124,2022-2023,14.5
125-126,2022-2023,14.53
127-128,2022-2023,14.56
129-130,2022-2023,14.59
131-132,2022-2023,14.63
133-134,2022-2023,14.67
135-136,2022-2023,14.71
137-138,2022-2023,14.75
139-140,2022-2023,14.8
141-142,2022-2023,14.84
143-144,2022-2023,14.88
145-146,2022-2023,14.92
147-148,2022-2023,14.97
149-150,2022-2023,15.01
151-152,2022-2023,15.04
153-154,2022-2023,15.08
155-156,2022-2023,15.11
157-158,2022-2023,15.14
159-160,2022-2023,15.16
